{Model=Town Car; Maker=Lincoln; Year= 2007; Color=Orange}
{Model=Sierra 1500; Maker=GMC; Year= 2001; Color=Maroon}
{Model=SRX; Maker=Cadillac; Year= 1998; Color=Aquamarine}
{Model=Avenger; Maker=Dodge; Year= 1999; Color=Yellow}
{Model=C-MAX Hybrid; Maker=Ford; Year= 2009; Color=Red}
{Model=Daewoo Magnus; Maker=Suzuki; Year= 1998; Color=Pink}
{Model=Grand Prix; Maker=Pontiac; Year= 1999; Color=Crimson}
{Model=Century; Maker=Buick; Year= 2009; Color=Goldenrod}
{Model=Swift; Maker=Suzuki; Year= 2007; Color=Indigo}
{Model=Explorer; Maker=Ford; Year= 2006; Color=Green}
{Model=QX56; Maker=Infiniti; Year= 2004; Color=Puce}
{Model=del Sol; Maker=Honda; Year= 2009; Color=Turquoise}
{Model=XT; Maker=Subaru; Year= 2007; Color=Orange}
{Model=MPV; Maker=Mazda; Year= 2007; Color=Goldenrod}
{Model=Ram 50; Maker=Dodge; Year= 2007; Color=Maroon}
{Model=Elan; Maker=Lotus; Year= 2005; Color=Indigo}
{Model=Mustang; Maker=Ford; Year= 2003; Color=Mauv}
{Model=Avalon; Maker=Toyota; Year= 2010; Color=Aquamarine}
{Model=Continental; Maker=Lincoln; Year= 2004; Color=Mauv}
{Model=Ram 1500; Maker=Dodge; Year= 2008; Color=Mauv}
{Model=A5; Maker=Audi; Year= 1998; Color=Maroon}
{Model=Camaro; Maker=Chevrolet; Year= 2008; Color=Red}
{Model=Storm; Maker=Geo; Year= 2000; Color=Purple}
{Model=R-Class; Maker=Mercedes-Benz; Year= 2008; Color=Crimson}
{Model=A8; Maker=Audi; Year= 2008; Color=Red}
{Model=Grand Marquis; Maker=Mercury; Year= 2005; Color=Orange}
{Model=Neon; Maker=Dodge; Year= 2009; Color=Yellow}
{Model=Sable; Maker=Mercury; Year= 1998; Color=Fuscia}
{Model=Escalade EXT; Maker=Cadillac; Year= 2003; Color=Red}
{Model=Prizm; Maker=Chevrolet; Year= 2005; Color=Mauv}
